REF_DATE,GEO,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,VALUE
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Male gender,International students,0
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Female gender,International students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,0
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,"Mathematics, computer and information sciences [7]",Male gender,International students,0
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,15
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,0
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,0
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,International students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,Health and related fields [10],Male gender,Canadian students,18
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,Health and related fields [10],Female gender,Canadian students,42
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,Other  [12],Male gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,Other  [12],Female gender,Canadian students,3
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,Humanities [3],Male gender,Canadian students,69
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,Humanities [3],Female gender,Canadian students,114
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,Humanities [3],Gender unknown,Canadian students,3
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Female gender,Canadian students,72
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Male gender,Canadian students,45
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Female gender,Canadian students,228
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Female gender,International students,3
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Gender unknown,Canadian students,0
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,576
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Male gender,International students,9
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,78
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Female gender,International students,0
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,Health and related fields [10],Male gender,Canadian students,18
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,Health and related fields [10],Male gender,International students,0
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,Health and related fields [10],Female gender,Canadian students,114
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,Health and related fields [10],Female gender,International students,0
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Male gender,Canadian students,114
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Male gender,International students,3
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Female gender,Canadian students,57
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Female gender,International students,0
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,Other  [12],Male gender,Canadian students,129
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,Other  [12],Male gender,International students,3
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,Other  [12],Female gender,Canadian students,162
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,Other  [12],Female gender,International students,0
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,Unclassified,Male gender,Canadian students,63
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,Unclassified,Male gender,International students,3
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,Unclassified,Female gender,Canadian students,3
2018/2019,Newfoundland and Labrador,College,Full-time student,Post-secondary non-tertiary education,Unclassified,Gender unknown,Canadian students,3
2018/2019,Newfoundland and Labrador,College,Full-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Male gender,Canadian students,120
2018/2019,Newfoundland and Labrador,College,Full-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Male gender,International students,3
